edge_case_id,edge_case_name,description,requirement_id,talent_id,match_id,observed_match_category,observed_rejection_reason,expected_system_behaviour
EDGE-01,Perfect skill match but unavailable,All mandatory skills are present but full contract availability fails,REQ-0001,TAL-0471,MAT-000023,Not Eligible,Not fully available for the contract window; Required language not supported,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-02,Strong candidate over budget,Candidate meets core constraints but rate exceeds the maximum budget,REQ-0001,TAL-0378,MAT-000018,Excellent Match,,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-03,Nearby candidate with insufficient experience,Local candidate does not meet the minimum experience threshold,REQ-0005,TAL-0389,MAT-000231,Not Eligible,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-04,Highly rated but missing a mandatory skill,Strong director rating cannot override a hard skill gap,REQ-0001,TAL-0019,MAT-000001,Not Eligible,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-05,Candidate matching multiple roles,Candidate is eligible through a secondary discipline,REQ-0096,TAL-0294,MAT-004752,Excellent Match,,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-06,Strong profile with high cancellation rate,Good quality candidate carries a reliability risk,REQ-0001,TAL-0302,MAT-000002,Not Eligible,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-07,New talent without ratings,Candidate has limited historical evidence,REQ-0005,TAL-0207,MAT-000241,Not Eligible,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Required safety certification or medical clearance missing,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-08,Partially available during contract,Candidate is only tentatively or partially available,REQ-0001,TAL-0019,MAT-000001,Not Eligible,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-09,Travel-ready but travel not provided,International candidate may need to self-fund travel,REQ-0006,TAL-0450,MAT-000251,Not Eligible,Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Physical or specialist technical requirement not met,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-10,Skills met but medical clearance missing,High-risk role fails medical hard constraint,REQ-0046,TAL-0388,MAT-002282,Not Eligible,Not fully available for the contract window; Physical or specialist technical requirement not met; Required safety certification or medical clearance missing,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-11,Safety-qualified but work eligibility missing,Safety readiness does not override passport or visa constraints,REQ-0001,TAL-0064,MAT-000033,Not Eligible,"Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Travel, passport, visa, or work authorisation condition not met; Required language not supported; Overnight rehearsal availability required; Identity or professional references not fully verified","Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-12,Incomplete talent profile,Candidate has insufficient profile completeness,REQ-0001,TAL-0277,MAT-000049,Not Eligible,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Required language not supported; Profile inactive,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-13,Rate at maximum budget,Candidate rate is exactly equal to the budget ceiling,REQ-0001,TAL-0074,MAT-000041,Not Eligible,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Required language not supported,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-14,Large ensemble requirement,Production requires a large cast or crew cohort,REQ-0002,TAL-0267,MAT-000051,Good Match,,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-15,Urgent requirement,Critical requirement tests constrained supply,REQ-0001,TAL-0019,MAT-000001,Not Eligible,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-16,Already booked during contract,Existing booking blocks the full production window,REQ-0001,TAL-0019,MAT-000001,Not Eligible,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-17,Excellent history but inactive,Strong historic performance cannot override inactive status,REQ-0015,TAL-0381,MAT-000735,Not Eligible,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Profile inactive,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-18,Mandatory Arabic language,Requirement explicitly needs English and Arabic,REQ-0002,TAL-0267,MAT-000051,Good Match,,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-19,High-risk production with strict safety,Safety certification and medical requirements are hard gates,REQ-0004,TAL-0485,MAT-000151,Not Eligible,Not fully available for the contract window,"Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
EDGE-20,Low-budget requirement where newer talent may qualify,Tight budget favours lower-rate developing talent,REQ-0005,TAL-0143,MAT-000219,Not Eligible,"Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Travel, passport, visa, or work authorisation condition not met; Identity or professional references not fully verified","Apply hard constraints first, retain explainable scores, and surface precise reasons or risks."
